model,rank,parameters,vocabulary_size,context,speed,commercial,merge,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version
norallm/normistral-7b-warm-instruct (few-shot),3.05,7248023552.0,32768,2048,6193.5,✓,✗,37.98 ± 1.72 / 43.91 ± 2.51@@37.97720081854903,46.49 ± 2.30 / 31.87 ± 1.92@@46.48972810857138,51.46 ± 2.36 / 35.87 ± 2.14@@51.46404557948572,7.86 ± 2.74 / 47.20 ± 2.71@@7.861975869164353,7.23 ± 1.97 / 46.62 ± 3.92@@7.230859450066681,59.27 ± 1.53 / 33.31 ± 1.03@@59.2736474419637,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
nvidia/mistral-nemo-minitron-8b-instruct (few-shot),3.06,8414105600.0,131072,8192,3160.57,✓,✗,34.35 ± 0.92 / 37.57 ± 0.55@@34.35067657555319,63.70 ± 0.98 / 39.82 ± 2.02@@63.69557648347908,62.53 ± 1.64 / 40.20 ± 2.22@@62.529659879082075,31.53 ± 1.91 / 64.14 ± 1.52@@31.525353902380193,22.71 ± 2.23 / 57.77 ± 2.48@@22.70687113418457,26.09 ± 1.72 / 0.06 ± 0.04@@26.09162741888564,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101
NbAiLab/nb-llama-3.1-8B (few-shot),3.07,8030261248.0,128256,131072,1297.18,✓,✗,31.84 ± 1.39 / 35.10 ± 1.48@@31.84325202271606,51.85 ± 2.62 / 39.77 ± 2.84@@51.84964387169539,54.79 ± 2.20 / 44.97 ± 2.37@@54.79371460880047,36.30 ± 2.59 / 64.51 ± 1.65@@36.30097671423765,32.19 ± 2.36 / 62.68 ± 2.41@@32.1934773133769,26.08 ± 2.25 / 1.24 ± 0.48@@26.07726459498003,14.1.2@@140102,14.0.4@@140004,14.0.4@@140004,14.1.2@@140102,14.1.2@@140102,14.3.0@@140300
microsoft/Phi-3-mini-4k-instruct (few-shot),3.07,3821079552.0,32064,2047,8681.12,✓,✗,37.18 ± 1.30 / 55.44 ± 1.46@@37.17736308217597,56.33 ± 1.63 / 36.68 ± 3.27@@56.32711642666093,54.68 ± 1.29 / 37.85 ± 3.79@@54.68466927971127,6.76 ± 2.81 / 41.69 ± 2.82@@6.757813113678764,6.79 ± 1.51 / 45.45 ± 3.51@@6.7873138024975646,52.56 ± 2.38 / 30.11 ± 2.09@@52.55847694986538,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004
tollefj/nordavind-7b-instruct-warm (few-shot),3.08,7248023552.0,32768,2048,6450.44,✗,✗,38.05 ± 1.85 / 47.06 ± 3.97@@38.053313090258065,38.82 ± 5.36 / 30.48 ± 1.91@@38.8183613987618,43.28 ± 3.13 / 33.87 ± 3.30@@43.284450697793616,8.45 ± 2.47 / 46.75 ± 3.97@@8.44716221780491,7.50 ± 1.65 / 48.14 ± 4.65@@7.501020343021768,64.21 ± 2.94 / 40.47 ± 2.77@@64.20762151765562,12.3.2@@120302,12.5.2@@120502,12.5.2@@120502,12.3.2@@120302,12.3.2@@120302,12.4.0@@120400
AI-Sweden-Models/gpt-sw3-20b (few-shot),3.09,20918423552.0,64000,2046,1875.24,✓,✗,34.75 ± 1.68 / 43.12 ± 2.35@@34.747878470919055,39.29 ± 3.14 / 30.53 ± 2.28@@39.285495834118656,36.01 ± 2.76 / 30.60 ± 1.97@@36.01152785137268,13.86 ± 3.09 / 50.46 ± 4.53@@13.85660974602421,12.32 ± 2.38 / 49.73 ± 4.79@@12.319344805067065,65.28 ± 3.34 / 42.63 ± 3.67@@65.27971518466939,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
Addedk/mbert-swedish-distilled-cased,3.09,135326208.0,119547,512,26091.07,✓,✗,30.38 ± 2.29 / 42.84 ± 2.38@@30.375276442296812,82.98 ± 1.32 / 79.80 ± 1.69@@82.97920156596858,76.65 ± 1.24 / 72.29 ± 1.44@@76.65209126071231,21.99 ± 6.74 / 54.54 ± 7.12@@21.985428067299978,19.06 ± 4.26 / 56.45 ± 5.24@@19.06320161122429,15.24 ± 8.64 / 9.47 ± 5.36@@15.242997661684281,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"merge-crew/da-sv-dare-ties-density-0.3 (few-shot, val)",3.09,7241732096.0,32000,32768,2460.88,✓,✓,38.98 ± 5.51 / 58.23 ± 4.01@@38.984014453785456,35.98 ± 3.79 / 27.51 ± 2.13@@35.97667922534205,47.39 ± 2.31 / 36.42 ± 2.87@@47.38501664546291,11.54 ± 5.04 / 49.91 ± 3.96@@11.5419997363995,5.20 ± 3.47 / 46.19 ± 5.23@@5.202625426840086,56.56 ± 2.96 / 37.54 ± 3.00@@56.5634248481821,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001
abhishek/autotrain-llama3-orpo-v2 (few-shot),3.1,8030326784.0,128264,8192,1471.31,✗,✗,22.79 ± 1.34 / 30.95 ± 1.20@@22.787454047068064,62.25 ± 2.48 / 54.17 ± 2.66@@62.254913172955554,59.50 ± 1.84 / 54.00 ± 2.95@@59.49775292044601,8.51 ± 1.84 / 42.76 ± 2.98@@8.511653230980258,5.10 ± 1.82 / 40.49 ± 2.88@@5.097303535277775,68.05 ± 3.80 / 43.34 ± 4.84@@68.05377168576716,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102
microsoft/Phi-3-mini-128k-instruct (few-shot),3.11,3821079552.0,32064,130817,7311.73,✓,✗,33.30 ± 2.01 / 51.15 ± 2.93@@33.29575783212563,52.18 ± 2.03 / 29.83 ± 3.23@@52.1816424889613,50.53 ± 1.49 / 31.94 ± 4.20@@50.530762175391644,2.63 ± 2.56 / 40.21 ± 3.98@@2.6346704213114296,4.00 ± 1.87 / 44.87 ± 3.17@@4.001693665339736,61.14 ± 2.01 / 37.08 ± 2.44@@61.13906919868013,12.9.1@@120901,12.9.1@@120901,12.9.1@@120901,12.9.1@@120901,12.9.1@@120901,12.9.1@@120901
LumiOpen/Viking-33B@1000B (few-shot),3.13,33119034368.0,131072,4097,2079.9,✓,✗,40.79 ± 1.70 / 57.84 ± 2.77@@40.78979692975846,40.40 ± 2.29 / 30.41 ± 2.07@@40.39539805336989,44.45 ± 3.61 / 34.06 ± 3.27@@44.45151188845482,5.91 ± 2.51 / 47.81 ± 3.76@@5.907427835030117,2.98 ± 2.86 / 45.49 ± 4.59@@2.9767753243718285,59.72 ± 3.03 / 37.75 ± 3.23@@59.71638022772942,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900
sarnikowski/convbert-small-da-cased,3.16,13014104.0,28995,512,14273.42,✓,✗,32.49 ± 1.55 / 43.12 ± 0.71@@32.49045800397693,76.07 ± 1.18 / 72.78 ± 1.16@@76.0692999671566,70.94 ± 1.19 / 66.73 ± 1.21@@70.9421683275253,35.43 ± 2.39 / 66.84 ± 1.17@@35.43197136018505,21.11 ± 1.97 / 60.09 ± 0.93@@21.11370344613221,2.78 ± 3.65 / 1.84 ± 2.41@@2.7810399027511297,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
NorwAI/NorwAI-Llama2-7B (few-shot),3.16,7033270272.0,67993,4096,4437.75,✓,✗,36.06 ± 3.96 / 52.59 ± 4.67@@36.0559728642595,31.45 ± 1.64 / 31.64 ± 1.89@@31.453770823879314,33.85 ± 1.95 / 34.29 ± 1.91@@33.84989536654232,8.34 ± 2.97 / 45.11 ± 4.57@@8.335342990013144,6.84 ± 3.88 / 45.28 ± 5.45@@6.836897743244966,69.39 ± 4.10 / 48.31 ± 4.22@@69.38981448187221,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004
cardiffnlp/twitter-xlm-roberta-base,3.16,278043648.0,250002,514,42714.76,✓,✗,41.00 ± 1.41 / 47.01 ± 0.92@@40.99874259287204,81.20 ± 1.06 / 82.07 ± 1.11@@81.20301463551726,76.09 ± 1.42 / 77.87 ± 1.03@@76.09378412502856,27.03 ± 10.11 / 56.68 ± 7.63@@27.030954438861688,5.61 ± 5.50 / 43.65 ± 6.38@@5.613404741061473,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
flax-community/swe-roberta-wiki-oscar,3.16,124645632.0,50265,512,15436.87,✓,✗,36.56 ± 3.06 / 51.25 ± 3.01@@36.55570481424469,79.25 ± 1.22 / 76.73 ± 1.16@@79.25462303650576,75.39 ± 1.03 / 71.63 ± 1.31@@75.39205968159717,22.02 ± 5.34 / 57.45 ± 3.59@@22.01695374291608,19.72 ± 3.67 / 56.70 ± 2.89@@19.72235188212611,1.49 ± 1.32 / 0.78 ± 0.74@@1.48832963406206,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
Qwen/Qwen1.5-4B-Chat (few-shot),3.17,3950369280.0,151936,32768,4347.23,✗,✗,32.70 ± 1.59 / 45.73 ± 2.82@@32.700467367576216,44.83 ± 1.58 / 40.11 ± 2.00@@44.82674371684558,46.29 ± 1.65 / 41.63 ± 3.45@@46.288355884504654,3.57 ± 1.55 / 37.05 ± 2.34@@3.5719227886204,1.61 ± 2.11 / 37.85 ± 3.99@@1.6058656209806288,67.11 ± 2.50 / 42.55 ± 3.36@@67.11360941393411,10.0.1@@100001,12.5.2@@120502,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100,12.5.2@@120502
AI-Sweden-Models/gpt-sw3-20b-instruct (few-shot),3.17,20918423552.0,64000,1793,1830.86,✓,✗,40.89 ± 3.60 / 59.86 ± 3.59@@40.890489174218,23.95 ± 1.93 / 21.43 ± 1.89@@23.95077124916275,26.55 ± 1.50 / 25.06 ± 1.61@@26.54502205426571,9.45 ± 1.58 / 44.62 ± 3.29@@9.453374049856123,8.32 ± 1.89 / 42.30 ± 2.78@@8.318819433778838,67.93 ± 1.55 / 43.19 ± 1.82@@67.93429711884497,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301
Twitter/twhin-bert-large,3.17,561713298.0,250002,512,9706.97,✓,✗,34.17 ± 2.42 / 43.74 ± 2.19@@34.17087608442845,86.26 ± 0.71 / 83.48 ± 1.19@@86.26312404713747,80.10 ± 2.44 / 76.17 ± 2.67@@80.0986340130027,12.11 ± 10.47 / 50.33 ± 7.16@@12.112967305833447,4.28 ± 4.18 / 45.75 ± 4.32@@4.275408886770171,16.38 ± 14.33 / 11.74 ± 10.45@@16.383161711174317,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
DDSC/roberta-base-danish,3.18,124645632.0,50265,512,15003.66,✓,✗,32.29 ± 9.23 / 49.08 ± 8.36@@32.28845820052227,76.14 ± 2.58 / 72.24 ± 2.54@@76.14344332091049,72.88 ± 1.50 / 68.61 ± 1.62@@72.88205653795985,0.45 ± 1.61 / 49.14 ± 1.42@@0.4452113965013419,-0.08 ± 1.79 / 45.89 ± 3.49@@-0.08284001274206897,36.47 ± 2.77 / 23.91 ± 2.24@@36.47247338753466,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
allenai/OLMo-1.7-7B-hf (few-shot),3.18,6888095744.0,50304,4096,3371.43,✓,✗,36.68 ± 2.11 / 46.78 ± 2.71@@36.67863612543811,42.78 ± 1.09 / 37.34 ± 1.81@@42.777840204582496,42.85 ± 1.93 / 37.34 ± 3.04@@42.84586711726881,2.39 ± 1.54 / 43.99 ± 3.66@@2.3855600015460388,1.91 ± 1.37 / 44.20 ± 4.28@@1.913889629177399,62.28 ± 2.34 / 39.16 ± 2.56@@62.27973080520466,12.10.4@@121004,12.10.5@@121005,12.10.5@@121005,12.10.4@@121004,12.10.4@@121004,12.10.5@@121005
sarnikowski/electra-small-discriminator-da-256-cased,3.18,13353344.0,28995,512,20339.7,✓,✗,29.97 ± 0.99 / 42.12 ± 0.47@@29.966442772837876,73.15 ± 1.21 / 70.05 ± 1.16@@73.14901995121927,66.34 ± 1.25 / 62.07 ± 1.31@@66.33778708578252,40.79 ± 2.06 / 69.48 ± 1.44@@40.79254112463984,25.08 ± 1.86 / 61.74 ± 0.81@@25.07911368337667,3.62 ± 3.99 / 1.93 ± 2.05@@3.6178136274624983,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
AI-Sweden-Models/gpt-sw3-6.7b-v2 (few-shot),3.19,7111057408.0,64000,2048,2350.93,✓,✗,34.67 ± 5.23 / 54.62 ± 5.71@@34.67193013063989,29.62 ± 4.17 / 24.40 ± 2.42@@29.615567830595346,32.30 ± 5.27 / 29.23 ± 3.22@@32.29831939050219,8.37 ± 1.71 / 48.94 ± 2.72@@8.370372753413688,7.76 ± 2.86 / 46.16 ± 4.77@@7.7573054327754605,67.57 ± 3.03 / 44.62 ± 3.31@@67.57318954107441,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,12.5.1@@120501
meta-llama/Llama-2-13b-chat-hf (few-shot),3.19,13015866880.0,32000,4096,1719.8,✓,✗,31.27 ± 0.82 / 37.99 ± 0.57@@31.27447586488909,42.55 ± 1.18 / 26.65 ± 1.60@@42.54579267281803,45.74 ± 1.77 / 29.54 ± 1.79@@45.74415635492255,14.48 ± 2.37 / 55.39 ± 1.84@@14.477648977750585,7.04 ± 2.09 / 50.25 ± 2.23@@7.044215405066239,58.02 ± 2.28 / 32.57 ± 1.56@@58.021323875703864,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
MaLA-LM/emma-500-llama2-7b (few-shot),3.21,6738415616.0,32000,4096,6275.17,✓,✗,32.67 ± 2.52 / 44.37 ± 3.06@@32.66532831475894,36.96 ± 3.10 / 34.68 ± 3.19@@36.95866017599821,39.38 ± 3.30 / 37.06 ± 3.49@@39.3794499833367,2.18 ± 2.36 / 38.05 ± 3.18@@2.1797261423523246,5.33 ± 2.97 / 44.30 ± 4.99@@5.332237376428193,67.75 ± 4.41 / 45.23 ± 5.03@@67.74896384383821,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
ibm-granite/granite-3.0-2b-base (few-shot),3.21,2533525504.0,49152,4097,10186.88,✓,✗,35.36 ± 2.31 / 54.88 ± 2.08@@35.36197143512842,43.00 ± 2.81 / 35.39 ± 2.28@@43.00269532059039,45.08 ± 0.83 / 38.16 ± 1.91@@45.08363577911719,2.79 ± 1.92 / 41.90 ± 4.62@@2.793007595854491,1.95 ± 2.02 / 38.91 ± 3.27@@1.9519031753101583,59.74 ± 2.74 / 37.33 ± 3.11@@59.73660286066024,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
Maltehb/danish-bert-botxo,3.21,110617344.0,32000,512,16091.06,✓,✗,40.65 ± 1.63 / 55.20 ± 2.63@@40.64755539853451,72.62 ± 0.81 / 69.33 ± 0.93@@72.62288400666655,58.73 ± 1.81 / 55.12 ± 1.67@@58.731663198363826,29.47 ± 2.30 / 62.25 ± 1.69@@29.46781938869681,12.95 ± 3.01 / 55.31 ± 1.87@@12.954818301923563,2.56 ± 2.15 / 0.91 ± 0.93@@2.564763684978275,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
01-ai/Yi-1.5-6B (few-shot),3.23,6061035520.0,64000,4097,2867.41,✓,✗,27.86 ± 0.76 / 31.62 ± 0.80@@27.859692683676034,46.02 ± 2.12 / 35.05 ± 2.84@@46.01804312193808,48.72 ± 1.76 / 35.97 ± 2.78@@48.71504761594919,2.41 ± 1.92 / 35.60 ± 2.65@@2.4077755787455333,2.50 ± 2.05 / 34.90 ± 1.27@@2.5021277381858824,67.06 ± 2.85 / 44.70 ± 3.79@@67.06443677495977,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
danish-foundation-models/munin-7b-alpha (few-shot),3.23,7241732096.0,32000,32768,6116.08,✓,✗,20.54 ± 6.01 / 36.30 ± 6.77@@20.54343273066692,48.89 ± 3.42 / 35.46 ± 2.58@@48.889580864095535,51.95 ± 1.59 / 36.45 ± 2.57@@51.945841364374054,4.39 ± 3.94 / 35.23 ± 2.81@@4.389038909036108,1.20 ± 1.64 / 34.54 ± 1.31@@1.2031916972104737,70.08 ± 3.96 / 47.16 ± 4.15@@70.07747481431105,12.4.0@@120400,12.5.2@@120502,12.5.2@@120502,12.4.0@@120400,12.4.0@@120400,12.4.0@@120400
sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking,3.26,134734080.0,119547,512,33753.4,✓,✗,44.59 ± 1.89 / 59.87 ± 1.84@@44.59272246599745,77.81 ± 0.76 / 74.83 ± 0.79@@77.81361652752477,72.22 ± 0.95 / 68.32 ± 1.13@@72.2214825779534,8.98 ± 3.55 / 52.49 ± 2.08@@8.981605736131916,5.72 ± 3.29 / 50.40 ± 3.21@@5.721647825113404,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
sentence-transformers/quora-distilbert-multilingual,3.26,135324672.0,119547,512,26458.45,✓,✗,44.59 ± 1.89 / 59.87 ± 1.84@@44.59272246599745,77.81 ± 0.76 / 74.83 ± 0.79@@77.81361652752477,72.22 ± 0.95 / 68.32 ± 1.13@@72.2214825779534,8.98 ± 3.55 / 52.49 ± 2.08@@8.981605736131916,5.72 ± 3.29 / 50.40 ± 3.21@@5.721647825113404,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
AI-Sweden-Models/gpt-sw3-40b (few-shot),3.26,39926513664.0,64000,1793,408.99,✓,✗,31.05 ± 7.03 / 45.69 ± 8.29@@31.05262683544924,24.07 ± 5.59 / 19.09 ± 2.55@@24.07168569768483,26.67 ± 6.24 / 21.18 ± 2.80@@26.667367646405438,10.80 ± 1.96 / 52.29 ± 2.55@@10.79816428085952,8.89 ± 2.52 / 47.62 ± 4.31@@8.892878649266702,71.66 ± 3.34 / 48.78 ± 3.64@@71.65927531589722,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900
ibm-granite/granite-3.0-3b-a800m-instruct (few-shot),3.27,3374295552.0,49155,4096,10246.27,✓,✗,32.29 ± 1.15 / 51.91 ± 2.66@@32.29348447124627,44.89 ± 2.26 / 34.93 ± 2.45@@44.8930027989276,48.08 ± 1.68 / 34.39 ± 2.61@@48.08083496353223,7.49 ± 1.65 / 47.79 ± 3.81@@7.4927023111253,4.65 ± 1.91 / 45.75 ± 5.13@@4.6473426842556105,47.59 ± 2.41 / 26.37 ± 1.51@@47.58660614826516,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
Qwen/Qwen1.5-4B (few-shot),3.27,3950369280.0,151936,32768,3247.86,✓,✗,36.97 ± 1.94 / 55.08 ± 2.30@@36.972221471321284,32.12 ± 5.17 / 32.01 ± 2.80@@32.124326709211246,36.86 ± 3.53 / 35.46 ± 3.07@@36.86041412748552,5.27 ± 3.31 / 40.91 ± 5.24@@5.270981695524403,1.40 ± 1.87 / 33.64 ± 0.74@@1.4048844233300914,62.87 ± 1.60 / 40.00 ± 2.26@@62.867765532257295,10.0.1@@100001,12.5.2@@120502,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100
HPLT/gpt-33b-nordic-prerelease (few-shot),3.28,33119034368.0,131072,4097,501.12,✓,✗,38.88 ± 4.12 / 54.92 ± 4.66@@38.88045126504294,31.38 ± 5.44 / 24.32 ± 2.75@@31.384530061454218,37.84 ± 4.65 / 29.35 ± 4.10@@37.84278626405361,3.41 ± 2.16 / 35.53 ± 2.75@@3.4056033081291917,3.11 ± 1.55 / 39.80 ± 4.20@@3.110864409980129,51.24 ± 2.87 / 30.39 ± 2.51@@51.24208770047225,12.9.1@@120901,12.9.1@@120901,12.10.0@@121000,12.10.0@@121000,12.10.0@@121000,12.10.0@@121000
neuralmagic/Sparse-Llama-3.1-8B-2of4 (few-shot),3.28,8030261248.0,128256,131072,2996.46,✓,✗,32.18 ± 6.27 / 50.19 ± 5.62@@32.181597449706786,35.54 ± 2.35 / 35.62 ± 2.50@@35.53700265010219,36.61 ± 1.95 / 37.38 ± 1.88@@36.60943930631837,0.00 ± 0.00 / 33.25 ± 0.30@@0.0,0.00 ± 0.00 / 32.79 ± 0.34@@0.0,68.45 ± 2.93 / 43.47 ± 3.30@@68.45421602866423,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200
AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct (few-shot),3.29,7111057408.0,64000,2048,1472.78,✓,✗,34.39 ± 5.34 / 50.45 ± 6.08@@34.38774910770138,24.67 ± 1.69 / 24.58 ± 1.95@@24.667116423047737,29.03 ± 2.12 / 29.83 ± 2.15@@29.02788696311237,2.42 ± 1.83 / 35.49 ± 2.63@@2.417969567223074,5.11 ± 2.68 / 38.37 ± 3.31@@5.106557601094556,68.98 ± 2.23 / 42.52 ± 2.05@@68.98443260265176,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,12.4.0@@120400
Maltehb/aelaectra-danish-electra-small-cased,3.3,13737984.0,32000,128,4592.9,✓,✗,29.00 ± 1.28 / 41.72 ± 0.52@@29.00331689798602,71.85 ± 1.11 / 68.20 ± 1.23@@71.84803423165556,67.14 ± 1.18 / 62.61 ± 1.22@@67.13990718017165,33.57 ± 2.58 / 65.22 ± 1.59@@33.571978493633935,21.79 ± 1.60 / 60.32 ± 0.99@@21.786923917390737,0.05 ± 0.10 / 0.03 ± 0.07@@0.052177359904883036,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
Addedk/kbbert-distilled-cased,3.3,82163712.0,50325,512,29698.43,✓,✗,33.42 ± 1.96 / 48.63 ± 3.34@@33.41903165503555,81.82 ± 0.85 / 78.30 ± 1.00@@81.82297981104402,75.89 ± 1.11 / 72.08 ± 1.15@@75.88506087356242,14.99 ± 4.11 / 52.87 ± 4.48@@14.991821492297849,13.63 ± 4.52 / 53.34 ± 4.61@@13.63442193836692,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
AI-Sweden-Models/gpt-sw3-1.3b-instruct (few-shot),3.31,1444532224.0,64000,2048,4544.34,✓,✗,35.58 ± 2.13 / 44.49 ± 2.52@@35.584032456728046,33.08 ± 2.22 / 34.51 ± 2.24@@33.08292662760518,38.28 ± 2.63 / 40.50 ± 2.72@@38.27933366838321,0.82 ± 1.46 / 34.78 ± 1.54@@0.8180745389804057,1.43 ± 1.70 / 34.19 ± 1.10@@1.4265476597486515,58.71 ± 1.63 / 36.06 ± 1.76@@58.70890687700521,9.3.1@@90301,12.5.2@@120502,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100,12.4.0@@120400
dbmdz/bert-base-historic-multilingual-cased,3.31,111243522.0,32000,512,20046.97,✓,✗,25.68 ± 2.17 / 41.65 ± 2.77@@25.676617168644988,68.63 ± 1.64 / 64.83 ± 1.55@@68.62916983253436,67.70 ± 2.68 / 63.70 ± 2.54@@67.69665769957302,6.73 ± 5.40 / 48.20 ± 3.68@@6.7329653857158585,3.35 ± 2.61 / 47.52 ± 3.20@@3.3466629648919444,34.64 ± 1.94 / 22.57 ± 1.57@@34.64009444347323,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
norallm/normistral-7b-warm (few-shot),3.31,7248023552.0,32768,2048,3174.78,✓,✗,27.05 ± 3.33 / 45.30 ± 3.46@@27.048163096728512,42.29 ± 4.36 / 31.45 ± 1.88@@42.28929078619455,46.29 ± 3.44 / 35.99 ± 4.20@@46.28921684374539,1.63 ± 2.58 / 38.29 ± 4.05@@1.628922888323176,2.57 ± 1.78 / 40.92 ± 4.00@@2.56815002156132,61.85 ± 3.07 / 39.18 ± 2.84@@61.850084374978564,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000
dbmdz/bert-medium-historic-multilingual-cased,3.34,42129920.0,32000,512,24291.12,✓,✗,26.33 ± 1.84 / 40.67 ± 0.71@@26.332309582526086,69.65 ± 1.48 / 66.15 ± 1.66@@69.64557942974031,66.78 ± 1.28 / 62.75 ± 1.40@@66.78010656102876,6.62 ± 3.40 / 48.37 ± 4.02@@6.616091074711869,5.16 ± 3.07 / 45.99 ± 4.76@@5.162490487351508,27.15 ± 1.91 / 15.75 ± 1.30@@27.145300569146308,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
stabilityai/stablelm-2-1_6b (few-shot),3.37,1644515328.0,100352,4096,7258.53,✓,✗,33.71 ± 2.57 / 55.00 ± 1.41@@33.706864079561825,41.64 ± 3.64 / 39.43 ± 3.55@@41.63607378112085,42.37 ± 3.13 / 40.79 ± 3.10@@42.36535707386484,-0.19 ± 0.77 / 33.29 ± 0.30@@-0.19229521630305066,-0.01 ± 1.25 / 34.51 ± 2.09@@-0.014153992822661093,50.96 ± 3.46 / 30.14 ± 2.44@@50.95594519318033,12.10.8@@121008,12.10.8@@121008,12.10.8@@121008,12.10.8@@121008,12.10.8@@121008,12.10.8@@121008
ibm-granite/granite-3b-code-instruct-2k (few-shot),3.38,3482503680.0,49152,2048,9058.91,✓,✗,26.21 ± 1.63 / 43.33 ± 1.46@@26.20861434962717,53.78 ± 2.43 / 49.41 ± 2.56@@53.7760647408436,55.14 ± 1.27 / 51.07 ± 1.78@@55.138239151809124,3.90 ± 1.45 / 43.86 ± 4.21@@3.899271218713603,2.42 ± 1.39 / 41.58 ± 3.89@@2.424271141049017,45.77 ± 1.85 / 24.86 ± 1.34@@45.767102942121234,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
